accession_number,report_date,url,issuer,class,cusip,value,shares,share_type,discretion,voting_sole,voting_shared,voting_none
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,ABBOTT LABS,COM,002824100,119075397,875490,SH,SOLE,836220,0,39270
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,ACCURAY INC,COM,004397105,46169,33700,SH,SOLE,33700,0,0
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,ADOBE INC,COM,00724F101,1608467527,4157536,SH,SOLE,4056927,0,100609
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,ADVANCED MICRO DEVICES INC,COM,007903107,31317330,220700,SH,SOLE,220700,0,0
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,AECOM,COM,00766T100,1079308621,9563252,SH,SOLE,9239052,0,324200
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,AGILENT TECHNOLOGIES INC,COM,00846U101,180691722,1531156,SH,SOLE,1432306,0,98850
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,ALASKA AIR GROUP INC,COM,011659109,179831102,3634420,SH,SOLE,3634420,0,0
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,ALBEMARLE CORP,COM,012653101,207176931,3305839,SH,SOLE,3201514,0,104325
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,ALCON AG,ORD SHS,H01301128,119662304,1355486,SH,SOLE,1338486,0,17000
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,ALIBABA GROUP HLDG LTD,SPONSORED ADS,01609W102,2354876542,20764276,SH,SOLE,20159926,0,604350
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,ALKERMES PLC,SHS,G01767105,83040811,2902510,SH,SOLE,2816950,0,85560
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,ALLEGIANT TRAVEL CO,COM,01748X102,2200748,40050,SH,SOLE,40050,0,0
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,ALLOGENE THERAPEUTICS INC,COM,019770106,6462628,5719140,SH,SOLE,5719140,0,0
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,ALPHABET INC,CAP STK CL A,02079K305,2951551851,16748294,SH,SOLE,16229764,0,518530
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,ALPHABET INC,CAP STK CL C,02079K107,1503620971,8476357,SH,SOLE,8149637,0,326720
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,ALTICE USA INC,CL A,02156K103,10421500,4869860,SH,SOLE,4869860,0,0
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,ALTRIA GROUP INC,COM,02209S103,21745867,370900,SH,SOLE,370900,0,0
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,AMAZON COM INC,COM,023135106,1654274755,7540338,SH,SOLE,7479438,0,60900
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,AMBARELLA INC,SHS,G037AX101,1446824,21900,SH,SOLE,21900,0,0
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,AMENTUM HOLDINGS INC,COM,023939101,284043790,12030656,SH,SOLE,11376056,0,654600
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,AMERICAN AIRLS GROUP INC,COM,02376R102,599960127,53472382,SH,SOLE,51391807,0,2080575
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,AMERICAN HOMES 4 RENT,CL A,02665T306,10019164,277770,SH,SOLE,263270,0,14500
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,AMETEK INC,COM,031100100,140923324,778754,SH,SOLE,778754,0,0
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,AMGEN INC,COM,031162100,2968479471,10631709,SH,SOLE,10414864,0,216845
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,AMICUS THERAPEUTICS INC,COM,03152W109,4561653,796100,SH,SOLE,796100,0,0
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,ANALOG DEVICES INC,COM,032654105,820283566,3446280,SH,SOLE,3376730,0,69550
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,APPLE INC,COM,037833100,428739646,2089680,SH,SOLE,2089680,0,0
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,APPLIED MATLS INC,COM,038222105,320377259,1750026,SH,SOLE,1670371,0,79655
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,APPLOVIN CORP,COM CL A,03831W108,142666352,407525,SH,SOLE,407525,0,0
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,ARISTA NETWORKS INC,COM SHS,040413205,1718808,16800,SH,SOLE,16800,0,0
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,ARLO TECHNOLOGIES INC,COM,04206A101,61976775,3654291,SH,SOLE,3331261,0,323030
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,ARM HOLDINGS PLC,SPONSORED ADS,042068205,38104327,235590,SH,SOLE,235590,0,0
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,ARRAY TECHNOLOGIES INC,COM SHS,04271T100,5378440,911600,SH,SOLE,911600,0,0
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,338674626,422609,SH,SOLE,408613,0,13996
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,ASTRAZENECA PLC,SPONSORED ADR,046353108,2879062356,41200091,SH,SOLE,40067381,0,1132710
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,AURORA INNOVATION INC,CLASS A COM,051774107,51530474,9834060,SH,SOLE,9834060,0,0
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,AUTODESK INC,COM,052769106,210804787,680960,SH,SOLE,680960,0,0
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,AXCELIS TECHNOLOGIES INC,COM NEW,054540208,59396508,852296,SH,SOLE,852296,0,0
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,AXON ENTERPRISE INC,COM,05464C101,14571744,17600,SH,SOLE,17600,0,0
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,BAIDU INC,SPON ADR REP A,056752108,1039132480,12116750,SH,SOLE,11777000,0,339750
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,BANK AMERICA CORP,COM,060505104,127126694,2686532,SH,SOLE,2478832,0,207700
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,BANK NEW YORK MELLON CORP,COM,064058100,73364506,805230,SH,SOLE,805230,0,0
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,BATH & BODY WORKS INC,COM,070830104,12810896,427600,SH,SOLE,396230,0,31370
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,BELLRING BRANDS INC,COMMON STOCK,07831C103,66342479,1145218,SH,SOLE,1140518,0,4700
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,BEONE MEDICINES LTD,SPONSORED ADS,07725L102,1231719699,5088279,SH,SOLE,4990279,0,98000
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,BIOGEN INC,COM,09062X103,1984588503,15802122,SH,SOLE,15398085,0,404037
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,BIOMARIN PHARMACEUTICAL INC,COM,09061G101,866996351,15772173,SH,SOLE,15064190,0,707983
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,BIONTECH SE,SPONSORED ADS,09075V102,426036087,4001466,SH,SOLE,3776866,0,224600
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,BJS WHSL CLUB HLDGS INC,COM,05550J101,92728302,859949,SH,SOLE,841649,0,18300
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,BLACKBERRY LTD,COM,09228F103,14660928,3201076,SH,SOLE,3095776,0,105300
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,BOEING CO,COM,097023105,78871283,376420,SH,SOLE,376420,0,0
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,BOOT BARN HLDGS INC,COM,099406100,7715520,50760,SH,SOLE,50760,0,0
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,BOOZ ALLEN HAMILTON HLDG COR,CL A,099502106,131938749,1267058,SH,SOLE,1265458,0,1600
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,BOSTON SCIENTIFIC CORP,COM,101137107,3723122970,34662722,SH,SOLE,34248514,0,414208
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,BRIDGEBIO PHARMA INC,COM,10806X102,25420498,588710,SH,SOLE,588710,0,0
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,BRINKER INTL INC,COM,109641100,5085306,28200,SH,SOLE,0,0,28200
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,BRISTOL-MYERS SQUIBB CO,COM,110122108,1062107848,22944650,SH,SOLE,22423570,0,521080
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,BROADCOM INC,COM,11135F101,227135050,823998,SH,SOLE,817008,0,6990
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,BURLINGTON STORES INC,COM,122017106,140249350,602860,SH,SOLE,602860,0,0
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,CAMECO CORP,COM,13321L108,83870251,1129870,SH,SOLE,1129870,0,0
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,CAPITAL ONE FINL CORP,COM,14040H105,116022496,545321,SH,SOLE,545321,0,0
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,CAPRI HOLDINGS LIMITED,SHS,G1890L107,92312651,5215404,SH,SOLE,5063134,0,152270
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,CARMAX INC,COM,143130102,318434998,4737911,SH,SOLE,4463022,0,274889
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,CARNIVAL CORP,UNIT 99/99/9999,143658300,164079834,5834987,SH,SOLE,5467064,0,367923
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,CARRIER GLOBAL CORPORATION,COM,14448C104,194979258,2664015,SH,SOLE,2657015,0,7000
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,CARVANA CO,CL A,146869102,64401480,191125,SH,SOLE,191125,0,0
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,CASEYS GEN STORES INC,COM,147528103,30054903,58900,SH,SOLE,58900,0,0
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,CATERPILLAR INC,COM,149123101,532196315,1370898,SH,SOLE,1358658,0,12240
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,CAVA GROUP INC,COM,148929102,2215249,26300,SH,SOLE,26300,0,0
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,CBOE GLOBAL MKTS INC,COM,12503M108,1702433,7300,SH,SOLE,4300,0,3000
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,CERUS CORP,COM,157085101,1854714,1315400,SH,SOLE,1315400,0,0
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,CHARLES RIV LABS INTL INC,COM,159864107,41058138,270600,SH,SOLE,270600,0,0
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,CHART INDS INC,COM,16115Q308,32020309,194475,SH,SOLE,181775,0,12700
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,CHARTER COMMUNICATIONS INC N,CL A,16119P108,58660147,143490,SH,SOLE,143490,0,0
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,CIENA CORP,COM NEW,171779309,45097485,554500,SH,SOLE,554500,0,0
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,CIRCLE INTERNET GROUP INC,COM CL A,172573107,489483,2700,SH,SOLE,2700,0,0
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,CISCO SYS INC,COM,17275R102,381545597,5499360,SH,SOLE,5331704,0,167656
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,CITIGROUP INC,COM NEW,172967424,237225610,2786955,SH,SOLE,2669800,0,117155
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,CME GROUP INC,COM,12572Q105,548068992,1988495,SH,SOLE,1930175,0,58320
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,COCA COLA CO,COM,191216100,2490400,35200,SH,SOLE,35200,0,0
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,COMCAST CORP NEW,CL A,20030N101,7541297,211300,SH,SOLE,211300,0,0
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,COMERICA INC,COM,200340107,154720170,2593800,SH,SOLE,2494500,0,99300
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,CONOCOPHILLIPS,COM,20825C104,707461252,7883455,SH,SOLE,7654055,0,229400
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,CONTROLADORA VUELA COMP DE A,SPON ADR RP 10,21240E105,194750,41000,SH,SOLE,41000,0,0
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,CORNING INC,COM,219350105,262128124,4984372,SH,SOLE,4888172,0,96200
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,CORTEVA INC,COM,22052L104,96415438,1293646,SH,SOLE,1277466,0,16180
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,COSTAR GROUP INC,COM,22160N109,7075200,88000,SH,SOLE,88000,0,0
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,COTERRA ENERGY INC,COM,127097103,50494778,1989550,SH,SOLE,1903120,0,86430
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,CREDO TECHNOLOGY GROUP HOLDI,ORDINARY SHARES,G25457105,26851100,290000,SH,SOLE,290000,0,0
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,CROWDSTRIKE HLDGS INC,CL A,22788C105,54860836,107716,SH,SOLE,107716,0,0
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,CSX CORP,COM,126408103,71851260,2202000,SH,SOLE,2202000,0,0
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,CURTISS WRIGHT CORP,COM,231561101,334090035,683840,SH,SOLE,666140,0,17700
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,CVS HEALTH CORP,COM,126650100,202070011,2929400,SH,SOLE,2871980,0,57420
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,CYBERARK SOFTWARE LTD,SHS,M2682V108,20692289,50856,SH,SOLE,50856,0,0
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,DANAHER CORPORATION,COM,235851102,244815273,1239320,SH,SOLE,1239320,0,0
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,DEERE & CO,COM,244199105,43480980,85510,SH,SOLE,85510,0,0
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,DELL TECHNOLOGIES INC,CL C,24703L202,47936600,391000,SH,SOLE,379040,0,11960
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,DELTA AIR LINES INC DEL,COM NEW,247361702,993132658,20193832,SH,SOLE,19404942,0,788890
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,DESCARTES SYS GROUP INC,COM,249906108,151466605,1490153,SH,SOLE,1490153,0,0
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,DICKS SPORTING GOODS INC,COM,253393102,3649595,18450,SH,SOLE,18450,0,0
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,DISNEY WALT CO,COM,254687106,786905084,6345497,SH,SOLE,6186397,0,159100
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,DOCUSIGN INC,COM,256163106,35359722,453970,SH,SOLE,437670,0,16300
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,DOLLAR TREE INC,COM,256746108,388782508,3925510,SH,SOLE,3846420,0,79090
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,DOORDASH INC,CL A,25809K105,31691326,128560,SH,SOLE,125250,0,3310
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,DOW INC,COM,260557103,125135372,4725656,SH,SOLE,4689176,0,36480
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,DUOLINGO INC,CL A COM,26603R106,1496573,3650,SH,SOLE,3650,0,0
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,DUPONT DE NEMOURS INC,COM,26614N102,151622929,2210569,SH,SOLE,2137919,0,72650
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,E L F BEAUTY INC,COM,26856L103,55998000,450000,SH,SOLE,438400,0,11600
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,EBAY INC.,COM,278642103,155092734,2082900,SH,SOLE,2082900,0,0
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,EDWARDS LIFESCIENCES CORP,COM,28176E108,269581346,3446891,SH,SOLE,3446891,0,0
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,ELANCO ANIMAL HEALTH INC,COM,28414H103,739230103,51766814,SH,SOLE,48828334,0,2938480
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,ELECTRONIC ARTS INC,COM,285512109,60404928,378240,SH,SOLE,362740,0,15500
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,ELI LILLY & CO,COM,532457108,9475115435,12154908,SH,SOLE,11913931,0,240977
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,ENTEGRIS INC,COM,29362U104,247205960,3065170,SH,SOLE,3058803,0,6367
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,EOG RES INC,COM,26875P101,301711680,2522462,SH,SOLE,2522462,0,0
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,EPR PPTYS,COM SH BEN INT,26884U109,5532952,94970,SH,SOLE,94970,0,0
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,EVERCORE INC,CLASS A,29977A105,62299015,230720,SH,SOLE,230720,0,0
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,EXACT SCIENCES CORP,COM,30063P105,20108176,378400,SH,SOLE,378400,0,0
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,EXPAND ENERGY CORPORATION,COM,165167735,53767959,459791,SH,SOLE,451373,0,8418
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,EXXON MOBIL CORP,COM,30231G102,470632810,4365796,SH,SOLE,4359290,0,6506
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,FAIR ISAAC CORP,COM,303250104,34000055,18600,SH,SOLE,18600,0,0
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,FEDEX CORP,COM,31428X106,2293862495,10091340,SH,SOLE,9893067,0,198273
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,FIBROGEN INC,COM NEW,31572Q881,475389,89696,SH,SOLE,83360,0,6336
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,FIDELITY NATL INFORMATION SV,COM,31620M106,71470328,877906,SH,SOLE,877906,0,0
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,FLEX LTD,ORD,Y2573F102,1677492511,33603616,SH,SOLE,31890033,0,1713583
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,FLUTTER ENTMT PLC,SHS,G3643J108,490675353,1717089,SH,SOLE,1717089,0,0
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,FLYWIRE CORPORATION,COM VTG,302492103,17985708,1537240,SH,SOLE,1537240,0,0
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,FMC CORP,COM NEW,302491303,43455195,1040843,SH,SOLE,1040843,0,0
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,FORMFACTOR INC,COM,346375108,79876759,2321324,SH,SOLE,2321324,0,0
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,FORTINET INC,COM,34959E109,740040,7000,SH,SOLE,7000,0,0
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,FREEPORT-MCMORAN INC,CL B,35671D857,112353230,2591770,SH,SOLE,2591770,0,0
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,FRONTIER GROUP HLDGS INC,COM,35909R108,3103287,854900,SH,SOLE,854900,0,0
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,GALAPAGOS NV,SPON ADR,36315X101,4011247,143310,SH,SOLE,143310,0,0
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,GALAXY DIGITAL INC.,CL A,36317J209,6366330,290700,SH,SOLE,290700,0,0
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,GARTNER INC,COM,366651107,16370910,40500,SH,SOLE,40500,0,0
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,GE AEROSPACE,COM NEW,369604301,48312103,187700,SH,SOLE,187700,0,0
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,GENERAL DYNAMICS CORP,COM,369550108,155944770,534680,SH,SOLE,534120,0,560
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,GFL ENVIRONMENTAL INC,SUB VTG SHS,36168Q104,33697188,667800,SH,SOLE,667800,0,0
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,GIBRALTAR INDS INC,COM,374689107,5640400,95600,SH,SOLE,95600,0,0
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,GITLAB INC,CLASS A COM,37637K108,36292799,804540,SH,SOLE,804540,0,0
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,GLAUKOS CORP,COM,377322102,188813915,1827998,SH,SOLE,1827998,0,0
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,GLOBUS MED INC,CL A,379577208,2102588,35625,SH,SOLE,35625,0,0
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,GOLDMAN SACHS GROUP INC,COM,38141G104,131315936,185540,SH,SOLE,185540,0,0
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,GRAIL INC,COM,384747101,105631384,2054286,SH,SOLE,2024663,0,29623
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,GREIF INC,CL B,397624206,1587230,23000,SH,SOLE,23000,0,0
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,GRIFFON CORP,COM,398433102,20523336,283589,SH,SOLE,283589,0,0
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,GROWGENERATION CORP,COM,39986L109,352813,377300,SH,SOLE,377300,0,0
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,GSK PLC,SPONSORED ADR,37733W204,1064708352,27726780,SH,SOLE,26880060,0,846720
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,GUARDANT HEALTH INC,COM,40131M109,3434120,65990,SH,SOLE,65990,0,0
