accession_number,report_date,cik,issuer,class,cusip,figi,value_dollar,shares_owned,share_type,discretion,voting_sole,voting_shared,voting_none,primary_doc_url
000108514625004804,2025-08-11,ABBOTT LABS,COM,002824100,BBG001S5N9M6,119075397,875490,SH,SOLE,836220,0,39270,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml
000108514625004804,2025-08-11,ACCURAY INC,COM,004397105,BBG001SFHKJ0,46169,33700,SH,SOLE,33700,0,0,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml
000108514625004804,2025-08-11,ADOBE INC,COM,00724F101,BBG001S5NCQ5,1608467527,4157536,SH,SOLE,4056927,0,100609,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml
000108514625004804,2025-08-11,ADVANCED MICRO DEVICES INC,COM,007903107,BBG001S5NN36,31317330,220700,SH,SOLE,220700,0,0,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml
000108514625004804,2025-08-11,AECOM,COM,00766T100,BBG001SKTTF1,1079308621,9563252,SH,SOLE,9239052,0,324200,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml
000108514625004804,2025-08-11,AGILENT TECHNOLOGIES INC,COM,00846U101,BBG001SCTQY4,180691722,1531156,SH,SOLE,1432306,0,98850,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml
000108514625004804,2025-08-11,ALASKA AIR GROUP INC,COM,011659109,BBG001S5NLG6,179831102,3634420,SH,SOLE,3634420,0,0,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml
000108514625004804,2025-08-11,ALBEMARLE CORP,COM,012653101,BBG001S7SBP9,207176931,3305839,SH,SOLE,3201514,0,104325,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml
000108514625004804,2025-08-11,ALCON AG,ORD SHS,H01301128,BBG00NPWGYR0,119662304,1355486,SH,SOLE,1338486,0,17000,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml
000108514625004804,2025-08-11,ALIBABA GROUP HLDG LTD,SPONSORED ADS,01609W102,BBG006G2JWB1,2354876542,20764276,SH,SOLE,20159926,0,604350,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml
000108514625004804,2025-08-11,ALKERMES PLC,SHS,G01767105,BBG001S6RXM7,83040811,2902510,SH,SOLE,2816950,0,85560,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml
000108514625004804,2025-08-11,ALLEGIANT TRAVEL CO,COM,01748X102,BBG001SQ25S5,2200748,40050,SH,SOLE,40050,0,0,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml
